tank_id,image,isPrem,name,avg_earnings,profit_per_minute,avg_repair_cost,avg_profit,avg_ammo_cost,earnings_per_minute,nation,cost_per_shot,battles,tier,class,avg_consumables_cost
7761,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/uk-GB58_Cruiser_Mk_III.png,False,Cruiser III,11065,966,889,3244,5843,3296,UK,206,159,3,LT,1088
7713,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/usa-A29_T40.png,False,T40,18454,590,848,3196,13855,3406,USA,929,380,4,TD,553
9985,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/ussr-R58_SU-101.png,False,SU-101,34681,603,8852,3172,17889,6599,USSR,2262,4443,8,TD,4765
18193,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/germany-G81_Pz_IV_AusfH.png,False,Pz. IV H,27086,697,2477,3153,16002,5989,Germany,1547,3605,5,MT,5452
11841,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/france-F38_Bat_Chatillon155_58.png,False,B-C 155 58,40757,475,19013,3126,12164,6193,France,1123,5046,10,SPG,6452
14097,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/germany-G87_VK3002DB_V1.png,False,VK 30.01 D,29865,619,4957,3018,17958,6128,Germany,1366,1282,6,MT,3931
19745,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/usa-A112_T71E2R.png,False,T71 CMCD,26759,681,6396,2973,14080,6134,USA,1500,824,7,LT,3308
59473,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/uk-GB102_LHMTV.png,False,LHMTV,31464,582,8414,2922,9941,6272,UK,1629,2744,8,LT,10186
3697,https://api.worldoftanks.com/static/2.69.0/wot/encyclopedia/vehicle/contour/czech-Cz19_Vz_44_1.png,False,Vz. 44-1,33073,547,8006,2823,17540,6408,Czech,2093,3488,7,HT,4704
1057,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/usa-A05_M4_Sherman.png,False,M4A1,26689,571,2280,2712,16651,5623,USA,1436,1030,5,MT,5044
10241,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/ussr-R74_SU100M1.png,False,SU-100M1,29045,506,5388,2667,15120,5518,USSR,1540,3617,7,TD,5869
29441,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/contour/ussr-R202_SU_2_122.png,True,SU-2-122,29014,558,1558,2607,18297,6218,USSR,2969,1010,5,TD,6550
13073,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/germany-G82_Pz_II_AusfG.png,False,Pz. II G,13819,593,961,2523,8146,3249,Germany,158,216,3,LT,2187
15137,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/usa-A71_T21.png,False,T21,30712,470,3774,2399,18526,6020,USA,1409,1289,6,LT,6012
11553,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/usa-A41_M18_Hellcat.png,False,Hellcat,26942,430,3943,2320,16510,5003,USA,1759,7841,6,TD,4167
1889,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/japan-J10_Chi_To.png,False,Chi-To,25365,451,5114,2268,13907,5052,Japan,1046,1319,6,MT,4075
1313,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/usa-A06_M4A3E8_Sherman.png,False,M4A3E8,27514,487,4637,2254,15401,5946,USA,969,2410,6,MT,5222
16673,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/usa-A94_T37.png,False,T37,26552,481,3973,2221,14295,5758,USA,1241,1854,6,LT,6061
4881,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/germany-G102_Pz_III.png,False,Pz. III E,21911,571,796,2219,15831,5644,Germany,618,1617,3,LT,3064
10769,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/germany-G57_PzVI_Tiger_P.png,False,Tiger (P),33872,418,9142,2213,18813,6412,Germany,1765,9640,7,HT,3703
3665,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/uk-GB19_Sherman_Firefly.png,False,Firefly,29750,408,4278,2175,16775,5582,UK,1286,402,6,MT,6521
5393,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/germany-G26_VK1602.png,False,Leopard,26826,506,2204,2160,16899,6284,Germany,354,3191,5,LT,5561
1,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/ussr-R04_T-34.png,False,T-34,29803,424,2229,2124,21939,5959,USSR,1085,2985,5,MT,3509
2129,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/uk-GB20_Crusader.png,False,Crusader,26341,489,3862,2094,14138,6155,UK,1041,1469,6,LT,6245
37889,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/contour/ussr-R197_KV_1S_MZ.png,True,KV-1SA,25987,421,3070,1992,15460,5497,USSR,1103,2789,5,HT,5464
3441,https://api.worldoftanks.com/static/2.69.0/wot/encyclopedia/vehicle/contour/czech-Cz18_TNH_105_1000.png,False,TNH 105/1000,32288,398,10650,1971,15256,6533,Czech,1940,4245,8,HT,4410
16145,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/germany-G76_Pz_Sfl_IVc.png,False,Pz.Sfl. IVc,23833,341,1891,1940,11069,4193,Germany,1116,306,5,TD,8931
7985,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/china-Ch36_WZ111_1G_FT.png,False,WZ-111-1 FT,33711,315,7083,1922,14852,5532,China,2136,964,8,TD,9854
2593,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/usa-A14_T30.png,False,T30,42219,333,13475,1888,20187,7449,USA,3270,11290,9,TD,6667
21505,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/ussr-R96_Object_430.png,False,Obj. 430,41913,330,15213,1839,19616,7524,USSR,2109,3152,9,MT,5243
