damage_received,survival,damage_received_from_invisible,life_time,nation,player_winrate,winrate,image,isPrem,class,difference,tier,damage_blocked,battles,shots_fired,spots,tank_id,direct_hits,sniper_damage,spotting_assist,base_defense_points,wn8,frags,penetrations,base_capture_points,distance_traveled,hit_rate,name,tracking_assist,potential_damage_received,pen_rate,damage
560,22.37,191,269,Germany,53.82,51.72,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/germany-G28_PzIII_IV.png,False,MT,-2.1,5,117,1283,11.11,1.26,6417,6.83,140,213,0.43,1471,0.75,4.83,1.12,1389,61.55,Pz. III/IV,23,652,70.62,515
1164,25.69,368,290,China,51.33,50.91,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/china-Ch01_Type59_Gold.png,True,MT,-0.42,8,512,1277,10.58,1.58,561,7.63,321,443,0.78,1765,0.92,5.54,0.56,1587,72.1,Type 59 G,64,1686,72.69,1321
705,28.18,246,289,UK,50.85,50.35,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/uk-GB35_Sentinel_AC_IV.png,True,MT,-0.5,6,68,1249,10.17,0.86,56145,6.37,239,205,0.47,1324,0.76,5.13,1.01,1160,62.65,AC 4 Exp.,30,772,80.59,724
338,30.19,141,313,France,49.65,49.21,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/france-F33_S_35CA.png,False,TD,-0.44,5,56,1189,7.11,0.37,10049,3.86,237,81,0.35,978,0.68,2.99,0.93,849,54.25,S35 CA,22,399,77.67,513
1313,20.75,423,277,Sweden,47.63,46.37,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/sweden-S23_Strv_81_sabaton.png,True,MT,-1.26,8,457,1171,8.53,1.07,52609,5.69,218,365,0.09,944,0.5,3.75,0.64,1256,66.74,P:Victoria,41,1787,65.88,831
428,26.82,195,292,China,49.89,48.34,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/china-Ch33_60G_FT.png,False,TD,-1.55,5,6,1111,7.73,0.33,7217,4.14,239,81,0.31,938,0.63,3.07,0.64,923,53.54,60G FT,26,417,74.23,482
1924,33.49,607,336,USA,56.75,54.75,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/usa-A95_T95_E6.png,True,MT,-2,10,447,1087,13.25,1.22,55841,9.61,782,567,0.75,2444,1.28,7.27,0.42,1809,72.54,T95E6,107,2267,75.62,2706
793,28.91,283,288,Japan,51.21,53.15,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/japan-J23_Mi_To.png,False,HT,1.94,5,446,1055,11.56,0.85,5729,7.13,104,157,0.52,1193,0.83,4.82,1.29,907,61.71,O-I Exp.,28,1178,67.57,651
670,28.27,223,285,UK,50.02,49.07,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/uk-GB68_Matilda_Black_Prince.png,True,MT,-0.95,5,141,1054,15.21,0.59,53585,9.55,83,128,0.52,1124,0.66,6.7,1.86,817,62.76,Matilda BP,20,791,70.14,486
1735,24.48,483,301,USSR,51.11,50.98,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/ussr-R120_T22SR_A22.png,True,MT,-0.13,10,1091,1009,11.43,1.65,61697,8.46,405,644,0.42,1565,0.91,6.07,0.28,1742,74.03,T-22 med.,77,2782,71.71,1857
797,30.61,321,339,USSR,49.6,48.15,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/ussr-R111_ISU130.png,True,TD,-1.45,8,94,993,5.96,0.35,58625,3.82,642,182,0.18,1236,0.77,2.62,0.58,1037,64.13,ISU-130,43,951,68.49,1187
874,29.2,253,293,USSR,50.76,51.19,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/ussr-R114_Object_244.png,True,HT,0.43,6,425,952,10.22,0.82,60161,7.22,151,177,0.49,1265,0.87,5.23,1.66,1150,70.67,Obj. 244,37,1277,72.43,885
639,21.8,230,273,Germany,49.03,46.96,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/germany-G70_PzIV_Hydro.png,True,MT,-2.07,5,53,945,10.11,0.86,55057,5.97,103,145,0.27,841,0.6,4.16,1.36,1065,59.02,Pz. IV hydr.,22,641,69.63,437
1547,26.63,378,297,Germany,47.67,48.03,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/germany-G138_VK168_02_Mauerbrecher.png,True,HT,0.36,8,979,826,5.79,0.66,48145,4.05,127,264,0.44,937,0.52,2.29,0.99,991,70.01,Mauerbrecher,45,2544,56.54,928
576,32.11,245,322,UK,49.22,47.78,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/uk-GB40_Gun_Carrier_Churchill.png,False,TD,-1.44,6,59,816,6.38,0.34,9809,3.67,351,110,0.43,1208,0.7,2.92,0.63,862,57.6,Churchill GC,27,646,79.55,692
